"metric","metric2","time","incidence","death","incidence_rate","death_rate","population"
"肺结核","Pulmonary Tuberculosis",2012,951508,2662,70.62,0.2,1349160000
"肺结核","Pulmonary Tuberculosis",2011,953275,2840,71.09,0.21,1340910000
"肺结核","Pulmonary Tuberculosis",2010,991350,3000,74.27,0.22,1334500000
"肺结核","Pulmonary Tuberculosis",2009,1076938,3783,81.09,0.28,1328020000
"肺结核","Pulmonary Tuberculosis",2008,1169540,2802,88.52,0.21,1321290000
"肺结核","Pulmonary Tuberculosis",2007,1163959,3669,88.55,0.28,1314480000
"肺结核","Pulmonary Tuberculosis",2006,1127571,3339,86.23,0.26,1307560000
"肺结核","Pulmonary Tuberculosis",2005,1259309,3402,96.88,0.26,1299880000
"肺结核","Pulmonary Tuberculosis",2004,970279,1435,74.64,0.11,1292270000
"狂犬病","Rabies",2023,122,111,0.0087,0.0079,1411750000
"狂犬病","Rabies",2022,133,118,0.01,0.0084,1412600000
"狂犬病","Rabies",2021,157,150,0.0111,0.0106,1412120000
"狂犬病","Rabies",2020,202,188,0.01,0.01,1410080000
"狂犬病","Rabies",2019,290,276,0.02,0.02,1405410000
"狂犬病","Rabies",2018,422,410,0.03,0.03,1400110000
"狂犬病","Rabies",2017,516,502,0.04,0.04,1392320000
"狂犬病","Rabies",2016,644,592,0.05,0.04,1383260000
"狂犬病","Rabies",2015,801,744,0,0,1376460000
"狂犬病","Rabies",2014,924,854,0,0,1367260000
"狂犬病","Rabies",2013,1172,1128,0.01,0,1359220000
"狂犬病","Rabies",2012,1425,1361,0.11,0.1,1349160000
"狂犬病","Rabies",2011,1917,1879,0.01,0.01,1340910000
"狂犬病","Rabies",2010,2048,2014,0.01,0.01,1334500000
"狂犬病","Rabies",2009,2213,2131,0.01,0.01,1328020000
"狂犬病","Rabies",2008,2466,2373,0.01,0.01,1321290000
"狂犬病","Rabies",2007,3300,3300,0.01,0.01,1314480000
"狂犬病","Rabies",2006,3279,3215,0.01,0.01,1307560000
"狂犬病","Rabies",2005,2537,2537,0.01,0.01,1299880000
"狂犬病","Rabies",2004,2651,2651,0.2,0.2,1292270000
"传染性非典型肺炎","SARS",2020,0,0,0,0,1410080000
"传染性非典型肺炎","SARS",2019,0,0,0,0,1405410000
"传染性非典型肺炎","SARS",2018,0,0,0,0,1400110000
"传染性非典型肺炎","SARS",2017,0,0,0,0,1392320000
"传染性非典型肺炎","SARS",2016,0,0,0,0,1383260000
"传染性非典型肺炎","SARS",2015,0,0,0,0,1376460000
"传染性非典型肺炎","SARS",2014,0,0,0,0,1367260000
"传染性非典型肺炎","SARS",2013,0,0,0,0,1359220000
"传染性非典型肺炎","SARS",2012,0,0,0,0,1349160000
"传染性非典型肺炎","SARS",2011,0,0,0,0,1340910000
"传染性非典型肺炎","SARS",2010,0,0,0,0,1334500000
"传染性非典型肺炎","SARS",2009,0,0,0,0,1328020000
"传染性非典型肺炎","SARS",2008,0,0,0,0,1321290000
"传染性非典型肺炎","SARS",2007,0,0,0,0,1314480000
"传染性非典型肺炎","SARS",2006,0,0,0,0,1307560000
"传染性非典型肺炎","SARS",2005,0,0,0,0,1299880000
"猩红热","Scarlet Fever",2023,25819,0,1.8315,0,1411750000
"猩红热","Scarlet Fever",2022,20794,0,1.47,0,1412600000
"猩红热","Scarlet Fever",2021,29503,0,2.0927,0,1412120000
"猩红热","Scarlet Fever",2020,16564,1,1.18,0,1410080000
"猩红热","Scarlet Fever",2019,81737,0,5.85,0,1405410000
"猩红热","Scarlet Fever",2018,78864,0,5.68,0,1400110000
"猩红热","Scarlet Fever",2017,74369,0,5.39,0,1392320000
"猩红热","Scarlet Fever",2016,59282,0,4.32,0,1383260000
"猩红热","Scarlet Fever",2015,68249,1,5.01,0,1376460000
"猩红热","Scarlet Fever",2014,54247,0,4,0,1367260000
"猩红热","Scarlet Fever",2013,34207,2,2.53,0,1359220000
"猩红热","Scarlet Fever",2012,46459,2,3.45,0,1349160000
"猩红热","Scarlet Fever",2011,63878,1,4.76,0,1340910000
"猩红热","Scarlet Fever",2010,20876,0,1.56,0,1334500000
"猩红热","Scarlet Fever",2009,22068,0,1.66,0,1328020000
"猩红热","Scarlet Fever",2008,27782,0,2.1,0,1321290000
"猩红热","Scarlet Fever",2007,33488,1,2.55,0,1314480000
"猩红热","Scarlet Fever",2006,27620,0,2.11,0,1307560000
"猩红热","Scarlet Fever",2005,25068,2,1.93,0,1299880000
"猩红热","Scarlet Fever",2004,18939,1,1.46,0,1292270000
"血吸虫病","Schistosomiasis",2023,13,0,9e-4,0,1411750000
"血吸虫病","Schistosomiasis",2022,30,NA,0,0,1412600000
"血吸虫病","Schistosomiasis",2021,13,0,9e-4,0,1412120000
"血吸虫病","Schistosomiasis",2020,43,0,0,0,1410080000
"血吸虫病","Schistosomiasis",2019,113,0,0.01,0,1405410000
"血吸虫病","Schistosomiasis",2018,144,0,0.01,0,1400110000
"血吸虫病","Schistosomiasis",2017,1186,0,0.09,0,1392320000
"血吸虫病","Schistosomiasis",2016,2924,0,0.21,0,1383260000
"血吸虫病","Schistosomiasis",2015,34143,0,2.51,0,1376460000
"血吸虫病","Schistosomiasis",2014,4212,0,0.31,0,1367260000
"血吸虫病","Schistosomiasis",2013,5699,1,0.42,0,1359220000
"血吸虫病","Schistosomiasis",2012,4802,4,0.36,0,1349160000
"血吸虫病","Schistosomiasis",2011,4483,2,0.33,0,1340910000
"血吸虫病","Schistosomiasis",2010,4317,0,0.32,0,1334500000
"血吸虫病","Schistosomiasis",2009,3521,2,0.27,0,1328020000
"血吸虫病","Schistosomiasis",2008,2948,0,0.22,0,1321290000
"血吸虫病","Schistosomiasis",2007,2785,1,0.21,0,1314480000
"血吸虫病","Schistosomiasis",2006,3072,3,0.23,0,1307560000
"血吸虫病","Schistosomiasis",2005,3145,2,0.24,0,1299880000
"血吸虫病","Schistosomiasis",2004,1275,0,0.1,0,1292270000
"梅毒","Syphilis",2023,530116,16,37.6036,0.0011,1411750000
"梅毒","Syphilis",2022,441159,23,31.27,0.0016,1412600000
"梅毒","Syphilis",2021,480020,30,34.0493,0.0021,1412120000
"梅毒","Syphilis",2020,464435,54,33.08,0,1410080000
"梅毒","Syphilis",2019,535819,42,38.37,0,1405410000
"梅毒","Syphilis",2018,494867,39,35.62,0,1400110000
"梅毒","Syphilis",2017,475860,45,34.49,0,1392320000
"梅毒","Syphilis",2016,438199,53,31.97,0,1383260000
"梅毒","Syphilis",2015,433974,58,31.85,0,1376460000
"梅毒","Syphilis",2014,419091,69,30.93,0.01,1367260000
"梅毒","Syphilis",2013,406772,69,30.04,0.01,1359220000
"梅毒","Syphilis",2012,410074,79,30.44,0.01,1349160000
"梅毒","Syphilis",2011,395182,75,29.47,0.01,1340910000
"梅毒","Syphilis",2010,358534,69,26.86,0.01,1334500000
"梅毒","Syphilis",2009,306381,63,23.07,0,1328020000
"梅毒","Syphilis",2008,257474,60,19.49,0,1321290000
"梅毒","Syphilis",2007,208784,59,15.88,0,1314480000
"梅毒","Syphilis",2006,167370,86,12.8,0.01,1307560000
"梅毒","Syphilis",2005,126445,74,9.73,0.01,1299880000
"梅毒","Syphilis",2004,92573,37,7.12,0,1292270000
"伤寒","Typhoid Fever",2020,5368,5,0.38,0,1410080000
"伤寒","Typhoid Fever",2019,7008,0,0.5,0,1405410000
"伤寒","Typhoid Fever",2018,8059,1,0.58,0,1400110000
"伤寒","Typhoid Fever",2017,8774,3,0.64,0,1392320000
"伤寒","Typhoid Fever",2016,8588,1,0.63,0,1383260000
"伤寒","Typhoid Fever",2015,8844,1,0.65,0,1376460000
"伤寒","Typhoid Fever",2014,10460,0,0.77,0,1367260000
"伤寒","Typhoid Fever",2013,10722,3,0.79,0,1359220000
"伤寒","Typhoid Fever",2012,8816,3,0.65,0,1349160000
"伤寒","Typhoid Fever",2011,8768,1,0.65,0,1340910000
"伤寒","Typhoid Fever",2010,9716,3,0.73,0,1334500000
"伤寒","Typhoid Fever",2009,12427,7,0.94,0,1328020000
"伤寒","Typhoid Fever",2008,10946,4,0.83,0,1321290000
"伤寒","Typhoid Fever",2007,12942,6,0.98,0,1314480000
"伤寒","Typhoid Fever",2006,16317,13,1.25,0,1307560000
"伤寒","Typhoid Fever",2005,22270,9,1.71,0,1299880000
"伤寒","Typhoid Fever",2004,32966,17,2.54,0,1292270000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2023,5542,1,0.3931,1e-4,1411750000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2022,5829,2,0.41,1e-4,1412600000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2021,7244,0,0.5138,0,1412120000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2020,7011,5,0.5,0,1410080000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2019,9274,0,0.66,0,1405410000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2018,10843,2,0.78,0,1400110000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2017,10791,3,0.78,0,1392320000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2016,10899,1,0.8,0,1383260000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2015,11637,1,0.85,0,1376460000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2014,13768,0,1.02,0,1367260000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2013,14136,3,1.04,0,1359220000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2012,11998,3,0.89,0,1349160000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2011,11798,1,0.88,0,1340910000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2010,14041,3,1.05,0,1334500000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2009,16938,9,1.28,0,1328020000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2008,15641,7,1.18,0,1321290000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2007,20428,6,1.55,0,1314480000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2006,25986,17,1.99,0,1307560000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2005,34696,14,2.67,0,1299880000
"伤寒和副伤寒","Typhoid and Paratyphoid Fever",2004,49332,19,3.8,0,1292270000
"肝炎","Viral Hepatitis",2023,1278473,2397,90.6879,0.17,1411750000
"肝炎","Viral Hepatitis",2022,1105865,543,78.4,0.0385,1412600000
"肝炎","Viral Hepatitis",2021,1226165,520,86.9757,0.0369,1412120000
"肝炎","Viral Hepatitis",2020,1138781,588,81.12,0.04,1410080000
"肝炎","Viral Hepatitis",2019,1286691,575,92.13,0.04,1405410000
"肝炎","Viral Hepatitis",2018,1280015,531,92.15,0.04,1400110000
"肝炎","Viral Hepatitis",2017,1283523,573,93.02,0.04,1392320000
"肝炎","Viral Hepatitis",2016,1221479,537,89.11,0.04,1383260000
"肝炎","Viral Hepatitis",2015,1218946,474,89.47,0.03,1376460000
"肝炎","Viral Hepatitis",2014,1223021,515,90.25,0.04,1367260000
"肝炎","Viral Hepatitis",2013,1251872,739,92.45,0.05,1359220000
"肝炎","Viral Hepatitis",2012,1380800,747,102.48,0.06,1349160000
"肝炎","Viral Hepatitis",2011,1372344,830,102.34,0.06,1340910000
"肝炎","Viral Hepatitis",2010,1317982,884,98.74,0.07,1334500000
"肝炎","Viral Hepatitis",2009,1425020,1018,107.3,0.08,1328020000
"肝炎","Viral Hepatitis",2008,1407664,1049,106.54,0.08,1321290000
"肝炎","Viral Hepatitis",2007,1425428,1122,108.44,0.09,1314480000
"肝炎","Viral Hepatitis",2006,1334859,1352,102.09,0.1,1307560000
"肝炎","Viral Hepatitis",2005,1195356,1208,91.96,0.09,1299880000
"肝炎","Viral Hepatitis",2004,1152874,1059,88.69,0.08,1292270000
